cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness
1,1000,0,0,1.0
101,707,1331,31,0.569892
201,670,1297,40,0.556156
301,662,1433,34,0.547393
401,681,1380,49,0.567041
501,673,1403,47,0.565535
601,670,1401,40,0.515394
701,721,1460,50,0.55684
801,655,1496,48,0.560268
901,671,1460,56,0.578617
1001,683,1434,51,0.553008
1101,649,1456,58,0.559887
1201,648,1390,43,0.567522
1301,700,1519,50,0.54391
1401,660,1384,50,0.55699
1501,704,1433,48,0.552538
1601,695,1432,67,0.603093
1701,660,1558,50,0.559016
1801,661,1408,59,0.544044
1901,676,1444,81,0.557371
2001,694,1483,67,0.566465
2101,679,1534,62,0.539607
2201,691,1461,59,0.577873
2301,692,1562,63,0.579363
2401,656,1496,49,0.573326
2501,670,1475,60,0.551152
2601,671,1530,56,0.553241
2701,651,1566,58,0.548477
2801,671,1502,52,0.539453
2901,668,1513,62,0.560455
3001,676,1455,58,0.532203
3101,686,1525,60,0.560504
3201,683,1510,61,0.561652
3301,678,1533,57,0.551273
3401,686,1575,68,0.562505
3501,669,1520,61,0.550286
3601,678,1455,62,0.550073
3701,698,1510,57,0.553675
3801,697,1509,65,0.55657
3901,647,1535,63,0.560998
4001,706,1549,53,0.556088
4101,668,1563,69,0.562014
4201,659,1573,60,0.555456
4301,699,1564,64,0.541913
4401,699,1544,58,0.558408
4501,611,1473,55,0.542889
4601,673,1539,72,0.530108
4701,626,1465,68,0.530379
4801,658,1497,62,0.548932
4901,712,1566,69,0.546288
5001,671,1529,68,0.543691
5101,679,1557,60,0.543249
5201,711,1485,76,0.571539
5301,655,1558,65,0.581762
5401,662,1544,71,0.582021
5501,654,1564,66,0.57487
5601,691,1549,66,0.569466
5701,672,1630,76,0.552822
5801,692,1609,74,0.535523
5901,676,1589,68,0.561867
6001,648,1586,63,0.531962
6101,681,1515,73,0.558292
6201,683,1558,68,0.534369
6301,675,1483,64,0.552436
6401,657,1516,68,0.569383
6501,682,1520,78,0.563319
6601,671,1540,75,0.555172
6701,647,1459,68,0.567616
6801,688,1526,82,0.546782
6901,710,1568,78,0.55002
7001,682,1536,82,0.579628
7101,645,1406,65,0.578163
7201,687,1510,76,0.575995
7301,653,1509,71,0.545814
7401,709,1574,71,0.565732
7501,691,1547,79,0.539136
7601,676,1546,74,0.588138
7701,694,1600,72,0.542261
7801,645,1527,72,0.550141
7901,690,1582,76,0.533516
8001,660,1465,84,0.563507
8101,612,1509,71,0.574674
8201,710,1546,77,0.571757
8301,687,1597,80,0.537853
8401,669,1527,90,0.546915
8501,693,1586,89,0.554462
8601,662,1610,82,0.551236
8701,688,1541,86,0.586391
8801,697,1548,89,0.552042
8901,661,1449,82,0.590686
9001,681,1540,89,0.55037
9101,709,1564,87,0.569358
9201,672,1470,88,0.545473
9301,677,1523,89,0.534743
9401,653,1486,87,0.5401
9501,662,1547,102,0.55079
9601,694,1557,89,0.529139
9701,670,1570,90,0.554358
9801,698,1602,91,0.57284
9901,644,1568,107,0.557592
10001,655,1541,93,0.571068
10101,702,1617,86,0.581574
10201,694,1578,114,0.544906
10301,670,1558,100,0.582764
10401,665,1541,114,0.553831
10501,666,1516,110,0.552543
10601,703,1636,104,0.557592
10701,680,1603,110,0.557187
10801,689,1643,108,0.554935
10901,705,1622,112,0.565344
11001,680,1581,107,0.554659
11101,707,1572,104,0.583925
11201,660,1590,125,0.575282
11301,674,1617,113,0.574026
11401,724,1683,123,0.554147
11501,688,1655,124,0.522917
11601,680,1544,104,0.582646
11701,723,1616,111,0.562342
11801,685,1582,101,0.554743
11901,699,1532,98,0.548532
12001,721,1665,109,0.542219
12101,696,1600,99,0.534805
12201,708,1573,112,0.551409
12301,670,1573,110,0.555586
12401,697,1644,107,0.54095
12501,699,1635,111,0.569149
12601,717,1624,119,0.559094
12701,687,1541,112,0.56335
12801,666,1579,116,0.559176
12901,731,1634,114,0.581706
13001,726,1659,125,0.567404
13101,739,1627,116,0.556249
13201,707,1641,127,0.5916
13301,714,1582,133,0.563416
13401,723,1598,132,0.56722
13501,727,1669,137,0.540332
13601,719,1750,125,0.560859
13701,729,1657,127,0.553442
13801,729,1650,121,0.553546
13901,703,1700,115,0.542197
14001,710,1679,119,0.546863
14101,708,1623,126,0.55235
14201,696,1662,122,0.56655
14301,717,1691,133,0.545008
14401,681,1632,125,0.539064
14501,722,1673,117,0.552698
14601,731,1680,131,0.544838
14701,729,1604,123,0.563534
14801,660,1698,126,0.532371
14901,689,1711,129,0.528682
15001,711,1738,117,0.537599
