cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
1,2,0,0,0.0
2,8,582,1,6.25
3,32,2862,3,2.54084
4,128,12060,12,0.895717
5,512,48892,41,0.294605
6,2048,195476,195,0.0918567
7,3265,402422,407,0.0535374
8,3292,530806,514,0.0474221
9,3268,627049,619,0.0458611
10,3280,703841,703,0.0459732
11,3252,769334,750,0.0467196
12,3264,826508,786,0.0478655
13,3219,868141,891,0.049704
14,3217,908364,927,0.0514912
15,3195,945929,978,0.0532288
16,3311,994265,1011,0.0542664
17,3251,1030845,1023,0.0558051
18,3278,1069355,1078,0.0571388
19,3218,1095456,1133,0.0590677
20,3175,1114838,1131,0.061282
21,3350,1162262,1162,0.0618675
22,3200,1169583,1178,0.0645664
23,3217,1192634,1203,0.0663296
24,3276,1224713,1211,0.0675306
25,3193,1234908,1262,0.0698344
26,3257,1264923,1282,0.0710193
27,3183,1276655,1280,0.0731902
28,3256,1309554,1293,0.0741102
29,3225,1322563,1310,0.0760987
30,3195,1333654,1343,0.0781777
31,3267,1360358,1328,0.079289
32,3281,1379876,1346,0.0808077
33,3212,1386886,1347,0.0829774
34,3172,1391849,1369,0.0852383
35,3279,1419590,1388,0.0861308
36,3251,1433905,1427,0.0877566
37,3270,1450030,1448,0.0892653
38,3243,1465701,1469,0.0907375
39,3215,1472573,1492,0.0927562
40,3328,1505983,1545,0.0930687
41,3282,1515199,1529,0.0948604
42,3193,1512477,1520,0.097428
43,3161,1515480,1516,0.099576
44,3108,1512371,1517,0.102086
45,3124,1519379,1502,0.103962
46,3253,1549806,1529,0.10427
47,3191,1557827,1537,0.10607
48,3236,1575979,1591,0.107076
49,3207,1582160,1604,0.108922
50,3211,1588552,1614,0.110793
51,3269,1604808,1606,0.111914
52,3183,1603889,1623,0.114184
53,3112,1598047,1608,0.116843
54,3134,1609207,1635,0.118299
55,3175,1620574,1611,0.119665
56,3169,1630367,1629,0.121139
57,3174,1640717,1674,0.122529
58,3163,1648351,1685,0.124212
59,3130,1645782,1682,0.126639
60,3150,1654493,1671,0.128089
61,3194,1673020,1719,0.12881
62,3244,1688072,1740,0.1298
63,3141,1680101,1752,0.132514
64,3259,1704514,1774,0.132695
65,3135,1697736,1777,0.135329
66,3128,1698059,1772,0.137374
67,3200,1713924,1782,0.138209
68,3240,1730798,1820,0.138892
69,3143,1728671,1779,0.141218
70,3153,1737143,1787,0.142579
71,3112,1735102,1786,0.144838
72,3120,1741508,1783,0.146291
73,3159,1752892,1785,0.147452
74,3126,1756286,1759,0.149187
75,3113,1762488,1792,0.150685
76,3182,1782192,1827,0.151036
77,3106,1777955,1783,0.153419
78,3196,1793037,1805,0.154239
79,3245,1806518,1845,0.155166
80,3157,1801621,1813,0.157579
81,3109,1797891,1860,0.159856
82,3167,1810362,1856,0.160779
83,3140,1816228,1851,0.162274
84,3148,1820761,1830,0.163885
85,3048,1806936,1813,0.167079
86,3182,1827291,1850,0.167158
87,3146,1830461,1853,0.168834
88,3186,1840362,1873,0.169906
89,3203,1850962,1873,0.170868
90,3084,1843094,1880,0.173599
91,3258,1869383,1911,0.173043
92,3129,1860919,1891,0.175765
93,3103,1860784,1892,0.177707
94,3122,1867480,1913,0.178995
95,3068,1861923,1912,0.181448
96,3148,1876077,1935,0.181994
97,3122,1881080,1994,0.183447
98,3064,1870520,1964,0.186389
99,3093,1877053,1947,0.187653
100,3133,1885674,1958,0.18868
101,3183,1901462,1945,0.188999
102,2954,1872938,1957,0.193711
103,3144,1896790,1966,0.193229
104,3076,1897816,1991,0.195012
105,3081,1901900,1953,0.196521
106,3084,1905283,1950,0.198095
107,3072,1906165,1954,0.199819
108,3157,1924298,1969,0.199886
109,3074,1918278,1970,0.202366
110,3139,1928027,1988,0.203192
111,3088,1924483,1993,0.205448
112,3026,1917402,1953,0.208121
113,3084,1928292,1943,0.208815
114,3046,1926508,1903,0.210884
115,3006,1920179,1921,0.213394
116,3029,1922869,1902,0.215012
117,3066,1934909,1939,0.215597
118,3020,1932791,1956,0.217671
119,3110,1944418,1963,0.218174
120,3172,1960971,1935,0.218149
121,3074,1955259,1951,0.220665
122,3103,1965882,1945,0.221263
123,3041,1962553,1972,0.223549
124,3039,1958480,1983,0.225822
125,3014,1951731,2003,0.228385
126,3091,1964359,2008,0.228731
127,3098,1975470,2008,0.229271
128,3002,1966004,1994,0.232252
129,3010,1967964,2002,0.233811
130,3076,1975747,2014,0.234717
131,3039,1976678,2035,0.236452
132,3081,1984376,2060,0.23733
133,2991,1976223,2070,0.240155
134,3116,1996256,2121,0.239517
135,3039,1991200,2135,0.241876
136,2963,1980615,2089,0.245021
137,3050,1995771,2082,0.244942
138,3020,1991797,2052,0.247233
139,2928,1979087,2013,0.25063
140,3060,1998841,2042,0.250002
141,3080,2007674,2069,0.250699
142,3050,2008997,2052,0.252347
143,3025,2009240,2052,0.254149
144,3078,2020389,2050,0.254572
145,3024,2018302,2061,0.256616
146,3044,2026698,2070,0.257308
147,2993,2021983,2112,0.259708
148,2935,2011403,2069,0.262827
149,3026,2024652,2086,0.262899
150,3005,2025198,2064,0.264585
151,3096,2041114,2088,0.26424
152,3130,2057479,2116,0.263899
153,3096,2062437,2124,0.265037
154,2987,2048136,2089,0.268647
155,3046,2050330,2115,0.27014
156,2896,2027366,2111,0.27502
157,3054,2044708,2108,0.274484
158,2927,2030335,2080,0.27814
159,3013,2042912,2095,0.278189
160,2999,2045879,2094,0.279567
161,2997,2047605,2104,0.281041
162,3010,2048936,2077,0.28259
163,3039,2058299,2089,0.283037
164,3002,2054043,2076,0.285368
165,3019,2062645,2081,0.285876
166,2905,2047798,2093,0.289709
167,2907,2043731,2087,0.292094
168,2991,2053348,2108,0.292428
169,3083,2074765,2139,0.291109
170,2972,2062658,2111,0.29457
171,2989,2063958,2081,0.296189
172,3040,2074750,2080,0.296343
173,2964,2064995,2061,0.299496
174,2877,2050367,2053,0.303432
175,2982,2062548,2061,0.303396
176,2933,2058859,2037,0.305728
177,2933,2057637,2032,0.3077
178,3042,2077390,2089,0.306533
179,2914,2065298,2097,0.310132
180,2962,2073387,2135,0.31057
181,3029,2086936,2146,0.310273
182,2928,2075468,2110,0.313773
183,2992,2086738,2122,0.313829
184,2956,2080772,2117,0.316462
185,3055,2097485,2128,0.315697
186,2953,2090016,2118,0.318648
187,2912,2084232,2100,0.321261
188,2974,2096555,2140,0.321085
189,3000,2103130,2121,0.321755
190,2845,2078141,2130,0.32734
191,2960,2095056,2127,0.326358
192,2904,2089575,2110,0.328895
193,2953,2097251,2102,0.329445
194,2876,2091360,2115,0.332085
195,2971,2103086,2121,0.331875
196,2989,2112536,2131,0.33205
197,2938,2105400,2113,0.334871
198,2991,2111443,2113,0.335647
199,2893,2099520,2124,0.33926
200,2866,2094877,2103,0.341852
201,2918,2100324,2133,0.342717
202,2963,2109141,2152,0.342955
203,3006,2120902,2156,0.342736
204,2939,2115345,2163,0.345411
205,2967,2119534,2166,0.346402
206,2936,2113585,2125,0.349085
207,2900,2108661,2108,0.351594
208,2899,2112289,2101,0.352721
209,2956,2119258,2104,0.353188
210,2826,2100074,2077,0.358089
211,2846,2097033,2092,0.360348
212,2892,2106736,2133,0.360383
213,2864,2108518,2132,0.361732
214,2933,2119760,2165,0.361519
215,2844,2108374,2137,0.365258
216,2947,2119083,2135,0.365045
217,2836,2103127,2111,0.369494
218,2915,2112963,2096,0.369378
219,2893,2112642,2110,0.371212
220,2920,2121238,2111,0.37141
221,2948,2128948,2110,0.371757
222,2866,2119231,2119,0.375117
223,2880,2122148,2123,0.376418
224,2854,2113718,2123,0.379515
225,2876,2117060,2132,0.380695
226,2904,2124047,2114,0.381193
227,2874,2119595,2131,0.383733
228,2972,2137784,2129,0.38218
229,2804,2114790,2138,0.388056
230,2904,2126144,2151,0.38764
231,2878,2127330,2149,0.389105
232,2863,2127555,2130,0.390793
233,2872,2128857,2130,0.392181
234,2843,2125114,2128,0.394519
235,2891,2133192,2129,0.394768
236,2952,2149790,2143,0.393376
237,2804,2130445,2154,0.398603
238,2754,2119974,2166,0.402328
239,2874,2134337,2168,0.401331
240,2866,2138248,2160,0.402311
241,2861,2140916,2177,0.403424
242,2934,2152471,2207,0.402902
243,2874,2147849,2186,0.4054
244,2803,2135580,2166,0.409377
245,2838,2139188,2186,0.410343
246,2848,2138875,2177,0.412057
247,2812,2135313,2139,0.414412
248,2907,2149247,2163,0.413375
249,2838,2144406,2144,0.415922
250,2790,2137219,2158,0.418987
251,2853,2148700,2167,0.418467
252,2852,2150798,2183,0.419666
253,2861,2147497,2175,0.422034
254,2838,2146386,2189,0.423891
255,2851,2148394,2216,0.425223
256,2901,2159297,2206,0.424698
257,2874,2159777,2239,0.426299
258,2836,2153438,2210,0.429165
259,2850,2155541,2171,0.430396
260,2787,2150765,2194,0.433041
261,2802,2148244,2159,0.435239
262,2799,2144266,2180,0.437592
263,2833,2151182,2166,0.437878
264,2867,2161468,2189,0.437489
265,2781,2153778,2186,0.440752
266,2821,2159538,2179,0.441319
267,2886,2170168,2195,0.440846
268,2681,2137111,2158,0.449285
269,2856,2160778,2227,0.446015
270,2743,2146668,2183,0.45075
271,2785,2152808,2196,0.451165
272,2792,2155456,2188,0.452218
273,2819,2160283,2168,0.452837
274,2754,2148080,2191,0.457032
275,2825,2157612,2209,0.456653
276,2812,2163946,2206,0.456948
277,2779,2159229,2180,0.459602
278,2833,2164233,2179,0.460209
279,2866,2170297,2191,0.460626
280,2858,2173582,2193,0.461533
281,2809,2170201,2187,0.463919
282,2714,2153993,2132,0.469084
283,2734,2153906,2158,0.470743
284,2836,2165067,2162,0.469976
285,2787,2160391,2175,0.472687
286,2799,2164934,2190,0.473332
287,2756,2161692,2197,0.475674
288,2786,2165761,2156,0.476422
289,2782,2163575,2177,0.478415
290,2787,2161737,2164,0.480433
291,2765,2159288,2183,0.482667
292,2769,2162209,2168,0.483609
293,2840,2176134,2202,0.482275
294,2739,2160949,2200,0.487394
295,2793,2169855,2166,0.487038
296,2719,2161849,2179,0.490429
297,2720,2161743,2183,0.49209
298,2787,2171469,2166,0.491618
299,2790,2171924,2158,0.493099
300,2792,2173687,2187,0.494191
301,2695,2158375,2169,0.499366
302,2783,2166051,2196,0.499222
303,2738,2161527,2197,0.501925
304,2753,2160831,2177,0.503738
305,2782,2166010,2158,0.504124
306,2696,2155336,2169,0.508375
307,2741,2160003,2157,0.508961
308,2720,2159742,2153,0.510695
309,2731,2157956,2160,0.512747
310,2729,2155273,2175,0.515053
311,2736,2156887,2179,0.516315
312,2768,2165106,2183,0.516104
313,2724,2160819,2185,0.51883
314,2799,2172346,2185,0.517699
315,2672,2158518,2147,0.522793
316,2671,2153662,2159,0.525647
317,2705,2157512,2167,0.526341
318,2709,2162226,2199,0.526802
319,2722,2164884,2205,0.527816
320,2699,2158517,2216,0.530999
321,2621,2145893,2182,0.535761
322,2751,2164613,2195,0.532795
323,2721,2166049,2176,0.534082
324,2651,2154695,2166,0.538503
325,2709,2161844,2163,0.538392
326,2704,2162251,2182,0.539932
327,2661,2154361,2155,0.543518
328,2752,2166193,2193,0.542169
329,2663,2156275,2190,0.546304
330,2651,2150038,2189,0.54961
331,2653,2146836,2193,0.55208
332,2658,2147575,2185,0.553545
333,2807,2168497,2214,0.54982
334,2673,2153426,2162,0.555328
335,2743,2165816,2205,0.55395
336,2690,2159073,2188,0.557324
337,2744,2169156,2169,0.556427
338,2663,2160824,2168,0.560258
339,2609,2147831,2175,0.565372
340,2667,2152263,2193,0.565944
341,2712,2157558,2195,0.56616
342,2627,2146452,2161,0.570874
343,2752,2164854,2170,0.567671
344,2658,2159169,2165,0.570823
345,2696,2162497,2149,0.571696
346,2675,2154756,2141,0.5754
347,2707,2157671,2155,0.576189
348,2721,2164157,2137,0.576087
349,2604,2147498,2142,0.582234
350,2693,2156493,2141,0.581453
351,2609,2148472,2126,0.58522
352,2676,2154424,2165,0.58525
353,2707,2158898,2180,0.585704
354,2736,2169796,2218,0.584401
355,2593,2150717,2181,0.591259
356,2600,2147987,2167,0.593679
357,2652,2154257,2147,0.59353
358,2672,2161002,2133,0.593416
359,2598,2151771,2126,0.597589
360,2746,2173486,2159,0.593214
361,2537,2141992,2163,0.603564
362,2653,2148923,2158,0.603282
363,2687,2154451,2146,0.603507
364,2607,2148098,2159,0.606869
365,2733,2170910,2182,0.602164
366,2625,2157448,2165,0.607705
367,2674,2163876,2175,0.607536
368,2658,2162339,2183,0.609574
369,2669,2164123,2177,0.6108
370,2716,2177661,2183,0.608552
371,2690,2172072,2150,0.611832
372,2624,2166509,2123,0.614966
373,2600,2160099,2077,0.618471
374,2656,2163038,2101,0.619277
375,2680,2169541,2147,0.619095
376,2594,2156320,2127,0.624395
377,2629,2163696,2149,0.623826
378,2590,2158079,2133,0.627141
379,2620,2162213,2164,0.627618
380,2588,2157293,2150,0.63073
381,2653,2169847,2169,0.628725
382,2689,2175578,2201,0.628786
383,2556,2157964,2204,0.635646
384,2573,2153373,2211,0.638617
385,2601,2158712,2157,0.638758
386,2665,2170778,2174,0.636888
387,2603,2164126,2169,0.640453
388,2605,2159721,2155,0.643383
389,2640,2163346,2148,0.643937
390,2569,2152080,2137,0.648954
391,2581,2151558,2122,0.650716
392,2585,2151538,2127,0.65231
393,2607,2153078,2121,0.653353
394,2546,2149450,2089,0.656207
395,2582,2148012,2119,0.658404
396,2471,2130842,2094,0.665509
397,2616,2144333,2119,0.663075
398,2570,2142841,2154,0.665236
399,2566,2140026,2119,0.667706
400,2652,2155871,2135,0.664486
401,2667,2163350,2161,0.663841
402,2579,2155899,2145,0.667812
403,2641,2164723,2140,0.666588
404,2651,2170923,2152,0.666237
405,2576,2159473,2131,0.67142
406,2533,2148134,2151,0.676707
407,2595,2153080,2164,0.676883
408,2625,2161202,2183,0.67622
409,2541,2149752,2161,0.681557
410,2563,2148996,2129,0.683406
411,2548,2150156,2144,0.684843
412,2619,2160274,2150,0.683351
413,2575,2156089,2143,0.686419
414,2574,2155363,2165,0.688309
415,2563,2154835,2185,0.690092
416,2531,2146629,2169,0.69447
417,2507,2141514,2157,0.697912
418,2626,2157004,2128,0.694535
419,2558,2148136,2114,0.699195
420,2553,2143751,2140,0.70241
421,2556,2146554,2127,0.703102
422,2497,2140145,2115,0.706781
423,2540,2142174,2125,0.707703
424,2539,2145903,2115,0.708081
425,2520,2142793,2139,0.710739
426,2548,2147014,2144,0.71111
427,2572,2151816,2176,0.711181
428,2547,2150447,2142,0.71328
429,2479,2139904,2168,0.718503
430,2543,2144567,2145,0.718561
431,2529,2145287,2142,0.720008
432,2520,2141080,2131,0.723105
433,2614,2153856,2139,0.720459
434,2537,2150664,2157,0.723287
435,2494,2139306,2141,0.728845
436,2479,2133438,2135,0.732545
437,2544,2142901,2136,0.730962
438,2523,2145174,2159,0.731892
439,2537,2143165,2155,0.734237
440,2430,2124357,2140,0.74259
441,2490,2131034,2112,0.741755
442,2527,2135748,2110,0.741816
443,2379,2111864,2105,0.751767
444,2596,2139355,2128,0.743744
445,2498,2132058,2108,0.747868
446,2507,2137126,2113,0.747728
447,2530,2141253,2122,0.748021
448,2548,2145684,2104,0.748152
449,2479,2140271,2120,0.751803
450,2430,2127321,2144,0.758038
451,2407,2120901,2125,0.761994
452,2523,2135330,2130,0.758648
453,2546,2144312,2161,0.75726
454,2494,2139326,2135,0.760744
455,2460,2131260,2121,0.765316
456,2519,2137477,2120,0.764773
457,2491,2134673,2137,0.76746
458,2493,2135130,2135,0.769
459,2514,2135008,2107,0.770691
460,2423,2122861,2086,0.776694
461,2522,2137160,2122,0.773096
462,2472,2129291,2088,0.777694
463,2525,2136936,2102,0.776525
464,2539,2146130,2094,0.774976
465,2510,2142799,2089,0.777815
466,2452,2132787,2104,0.783076
467,2491,2138123,2096,0.782797
468,2482,2136619,2079,0.785042
469,2478,2136625,2080,0.786646
470,2479,2135382,2065,0.788793
471,2542,2145377,2107,0.786863
472,2526,2148197,2161,0.787466
473,2478,2144581,2183,0.790471
474,2484,2141124,2180,0.793412
475,2469,2139894,2156,0.79548
476,2458,2137394,2164,0.798148
477,2452,2131495,2125,0.802038
478,2521,2142224,2164,0.799807
479,2459,2136350,2172,0.803653
480,2516,2143588,2203,0.802769
481,2433,2137396,2168,0.806918
482,2473,2138233,2142,0.808313
483,2513,2145751,2189,0.80716
484,2434,2135808,2155,0.81254
485,2394,2124009,2161,0.818635
486,2461,2129106,2166,0.818338
487,2446,2128791,2137,0.820088
488,2361,2110064,2104,0.829011
489,2415,2111865,2088,0.829838
490,2486,2123153,2073,0.827075
491,2541,2139465,2061,0.822373
492,2424,2130205,2070,0.82768
493,2443,2127555,2071,0.83017
494,2436,2127484,2090,0.831952
495,2487,2135439,2109,0.830447
496,2459,2135268,2124,0.832109
497,2554,2151418,2149,0.827666
498,2483,2148614,2121,0.830528
499,2387,2132453,2143,0.838413
500,2411,2131445,2129,0.840513
501,2378,2127421,2115,0.843652
502,2428,2131253,2131,0.844004
503,2508,2146826,2126,0.83959
504,2464,2144064,2094,0.842326
505,2452,2140156,2077,0.845578
506,2484,2142281,2082,0.846585
507,2444,2135984,2107,0.850876
508,2416,2128213,2117,0.855655
509,2401,2121116,2094,0.860139
510,2457,2132382,2098,0.857331
