cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
1,2,0,0,0.0
2,8,584,0,6.25
3,32,2859,3,2.52
4,128,12046,11,0.895428
5,512,48915,47,0.293935
6,2048,196295,196,0.0916425
7,3304,405150,400,0.0532489
8,3284,531856,507,0.0472609
9,3311,634159,620,0.0453368
10,3281,709601,695,0.0456032
11,3254,771283,731,0.0466458
12,3299,830395,762,0.0476297
13,3284,882596,859,0.0489028
14,3294,926222,915,0.0505232
15,3250,962462,926,0.0523312
16,3240,997829,962,0.0540621
17,3308,1044287,1011,0.0551059
18,3227,1063677,1018,0.0574969
19,3195,1086377,1021,0.0596165
20,3289,1129111,1084,0.0605524
21,3308,1160912,1115,0.0619552
22,3307,1191029,1131,0.0634208
23,3228,1203189,1175,0.0657506
24,3275,1231495,1184,0.0671612
25,3261,1254570,1208,0.068817
26,3274,1279851,1248,0.0702413
27,3146,1279972,1248,0.0730458
28,3285,1312826,1289,0.0739711
29,3267,1332289,1274,0.0755844
30,3260,1350013,1282,0.0772497
31,3251,1363601,1316,0.0791127
32,3314,1386985,1355,0.0803751
33,3211,1395015,1336,0.082488
34,3275,1418684,1386,0.0836419
35,3227,1424904,1400,0.0857951
36,3156,1424513,1421,0.0883001
37,3184,1437895,1398,0.0899873
38,3193,1454643,1392,0.0914238
39,3240,1471142,1433,0.0928515
40,3241,1491186,1467,0.0940231
41,3221,1498919,1501,0.0959412
42,3324,1524721,1547,0.0966723
43,3282,1539861,1538,0.0981089
44,3163,1533137,1524,0.100891
45,3203,1544322,1509,0.102486
46,3273,1568754,1550,0.103199
47,3156,1560868,1545,0.106044
48,3136,1559658,1548,0.108425
49,3201,1576789,1592,0.109473
50,3253,1599431,1614,0.110227
51,3264,1615777,1616,0.111362
52,3234,1621293,1623,0.113195
53,3118,1606976,1602,0.116385
54,3164,1616151,1598,0.117987
55,3223,1634348,1636,0.118837
56,3127,1629403,1602,0.121407
57,3122,1633724,1593,0.123244
58,3174,1646004,1627,0.124529
59,3221,1663820,1626,0.125302
60,3249,1677421,1676,0.126498
61,3188,1680875,1659,0.12838
62,3148,1681353,1668,0.130505
63,3213,1698068,1700,0.131382
64,3235,1708318,1702,0.132756
65,3161,1708178,1701,0.134895
66,3154,1712013,1712,0.136647
67,3185,1724036,1726,0.137797
68,3253,1741069,1741,0.13849
69,3252,1747205,1740,0.139957
70,3276,1761935,1749,0.140818
71,3162,1757467,1715,0.14324
72,3066,1743664,1702,0.146413
73,3132,1753604,1729,0.147633
74,3224,1775276,1716,0.147883
75,3165,1771969,1712,0.150169
76,3030,1755129,1695,0.153609
77,3063,1759787,1724,0.155281
78,3147,1776532,1736,0.155908
79,3191,1790760,1744,0.156753
80,3052,1776777,1723,0.160005
81,3108,1782346,1755,0.161549
82,3068,1785017,1785,0.16331
83,3206,1812903,1813,0.162755
84,3201,1824563,1788,0.163672
85,3101,1815246,1776,0.166394
86,3172,1827827,1800,0.167209
87,3097,1824394,1797,0.16951
88,3048,1819760,1793,0.1719
89,3170,1843031,1795,0.171685
90,3135,1845989,1784,0.173316
91,3091,1841637,1787,0.175669
92,3046,1838059,1776,0.177909
93,3123,1851944,1790,0.178572
94,3174,1868238,1829,0.179008
95,3119,1867788,1863,0.18096
96,3224,1886925,1856,0.181019
97,3167,1893395,1836,0.182364
98,3076,1879964,1850,0.185624
99,3115,1886492,1863,0.186889
100,3089,1882305,1876,0.189256
101,3186,1900552,1859,0.189371
102,3112,1897397,1860,0.191596
103,3117,1903297,1847,0.19289
104,3062,1901400,1847,0.194996
105,3177,1917820,1855,0.195217
106,3135,1926546,1864,0.196202
107,3056,1913848,1851,0.199391
108,3125,1925210,1846,0.200085
109,3073,1923126,1863,0.202122
110,3071,1921616,1877,0.204166
111,3049,1919795,1845,0.206217
112,3124,1935075,1897,0.206467
113,3082,1935546,1875,0.208259
114,3063,1937177,1905,0.209946
115,3040,1936890,1912,0.211725
116,3044,1941104,1903,0.213104
117,2967,1929601,1916,0.216176
118,3101,1952078,1943,0.215536
119,3051,1950322,1927,0.217581
120,2979,1935975,1888,0.221019
121,3084,1949838,1896,0.221315
122,3023,1946609,1924,0.223501
123,3117,1961660,1957,0.223648
124,3139,1976441,1960,0.223759
125,3124,1982701,1970,0.224894
126,3041,1970494,1980,0.22809
127,3094,1978795,2009,0.228945
128,3103,1984258,1983,0.230157
129,3073,1984522,1990,0.231912
130,3113,1992990,2007,0.232655
131,2952,1972079,2006,0.236991
132,3093,1986950,2035,0.237057
133,3058,1988828,2078,0.238639
134,3055,1989273,2029,0.24045
135,3009,1987344,2025,0.242485
136,3059,1992365,2003,0.243605
137,3040,1999040,2007,0.244552
138,3052,2006861,2045,0.245354
139,3157,2025263,2070,0.244904
140,3010,2007207,2018,0.248912
141,2930,1992333,1965,0.252616
142,3035,2007005,1992,0.252566
143,3041,2012741,1992,0.253644
144,3019,2009546,1969,0.255814
145,2951,1996578,1949,0.259248
146,3073,2014767,2009,0.258692
147,3035,2015236,1986,0.26048
148,3025,2020140,2008,0.261571
149,3048,2026174,1985,0.262512
150,3040,2025345,1992,0.264392
151,3050,2027436,1972,0.266016
152,2997,2025082,1957,0.26805
153,3046,2032675,1972,0.268861
154,3040,2036116,1982,0.270251
155,2993,2033895,2000,0.272237
156,2936,2022658,2000,0.275516
157,2894,2013839,1993,0.278494
158,3029,2031468,2013,0.277866
159,3049,2038357,2010,0.278767
160,2974,2037128,1978,0.280721
161,2988,2041888,2008,0.28185
162,2991,2044563,2028,0.283205
163,2962,2037874,2051,0.28591
164,3064,2056282,2074,0.285074
165,2972,2049173,2062,0.287871
166,2996,2053290,2104,0.289042
167,2973,2054614,2081,0.290554
168,3037,2070032,2063,0.290088
169,2999,2067191,2063,0.292189
170,2905,2048945,2039,0.296555
171,2993,2062686,2048,0.296264
172,2936,2056157,2026,0.298852
173,2997,2066512,2025,0.299054
174,2956,2059128,2034,0.301758
175,2987,2068962,2056,0.302027
176,3022,2077220,2072,0.30258
177,3001,2084196,2083,0.303218
178,2990,2085700,2058,0.304731
179,2941,2082110,2014,0.307003
180,2937,2080959,2032,0.308896
181,2950,2078207,1996,0.31101
182,2977,2086019,2032,0.311566
183,2967,2083382,2064,0.31361
184,2933,2078507,2082,0.316088
185,2938,2082571,2058,0.317176
186,2976,2088149,2065,0.31801
187,2936,2085301,2043,0.320148
188,2976,2093428,2057,0.320675
189,3017,2102562,2065,0.320969
190,2978,2103365,2084,0.322539
191,2993,2111119,2080,0.32304
192,2890,2096061,2055,0.327005
193,2934,2100984,2054,0.327983
194,2977,2109685,2039,0.328271
195,2868,2100062,2052,0.331575
196,2935,2109775,2046,0.331705
197,2852,2093656,2078,0.335968
198,2929,2100852,2111,0.336465
199,2969,2113388,2091,0.336166
200,2990,2120970,2114,0.336659
201,2911,2109504,2123,0.34017
202,2964,2116038,2105,0.340733
203,2921,2113761,2094,0.342787
204,2901,2109011,2083,0.345231
205,2839,2098734,2090,0.34867
206,2842,2094866,2091,0.351029
207,2952,2110223,2114,0.350145
208,2890,2105395,2150,0.352573
209,2915,2107083,2118,0.354013
210,2949,2117689,2104,0.353977
211,2957,2128044,2130,0.353985
212,2851,2111221,2100,0.358526
213,2993,2133025,2144,0.356502
214,2838,2113153,2099,0.361558
215,2844,2115328,2095,0.362873
216,2869,2115206,2104,0.364589
217,2873,2114248,2095,0.366383
218,2921,2122535,2102,0.366606
219,2776,2102088,2139,0.371956
220,2870,2109473,2124,0.372402
221,2897,2118692,2137,0.372634
222,2849,2111112,2113,0.375685
223,2946,2125463,2104,0.374739
224,2893,2124770,2119,0.376567
225,2841,2115850,2101,0.379868
226,2924,2127099,2115,0.379549
227,2854,2119175,2112,0.382634
228,2828,2113722,2101,0.385203
229,2845,2116919,2111,0.386294
230,2944,2134904,2126,0.384728
231,2819,2123137,2115,0.388509
232,2835,2127869,2111,0.389367
233,2895,2140774,2138,0.388773
234,2920,2145217,2138,0.38968
235,2903,2146350,2146,0.391114
236,2862,2142032,2160,0.393626
237,2887,2144946,2136,0.394719
238,2884,2151140,2138,0.395272
239,2828,2146450,2155,0.397831
240,2871,2155054,2171,0.397879
241,2880,2156413,2165,0.399338
242,2846,2146219,2116,0.402939
243,2813,2137504,2131,0.406199
244,2910,2153040,2145,0.40493
245,2852,2147069,2148,0.407674
246,2923,2158265,2176,0.407166
247,2866,2158951,2160,0.408595
248,2792,2145084,2171,0.41291
249,2828,2150096,2164,0.413566
250,2833,2145403,2153,0.416099
251,2816,2137849,2157,0.419254
252,2913,2153388,2185,0.417999
253,2903,2156608,2195,0.419047
254,2932,2163772,2211,0.419294
255,2882,2160947,2213,0.421434
256,2813,2149329,2205,0.425365
257,2796,2145486,2182,0.427827
258,2775,2144158,2156,0.429713
259,2821,2148334,2161,0.430548
260,2788,2142114,2187,0.433464
261,2866,2157042,2163,0.432161
262,2804,2150446,2131,0.435066
263,2851,2160325,2154,0.43472
264,2714,2140622,2136,0.440409
265,2947,2170172,2158,0.436003
266,2791,2155875,2179,0.440522
267,2762,2150326,2167,0.443263
268,2814,2155852,2162,0.443766
269,2821,2153816,2180,0.445795
270,2817,2157924,2153,0.446691
271,2820,2159752,2143,0.447837
272,2809,2158130,2130,0.449792
273,2739,2147826,2149,0.453659
274,2841,2160731,2158,0.452585
275,2761,2151288,2140,0.456274
276,2797,2152163,2151,0.457829
277,2741,2141810,2139,0.461727
278,2845,2155557,2170,0.460372
279,2765,2151726,2143,0.462785
280,2803,2159819,2146,0.462673
281,2857,2169727,2166,0.462172
282,2768,2159708,2149,0.465966
283,2750,2157814,2134,0.467944
284,2818,2168672,2164,0.467251
285,2754,2158514,2172,0.471186
286,2802,2163614,2184,0.471708
287,2820,2170715,2209,0.47175
288,2781,2166377,2210,0.474306
289,2798,2172764,2213,0.474499
290,2768,2169921,2226,0.476855
291,2813,2176057,2235,0.477175
292,2738,2164000,2246,0.481551
293,2781,2163821,2224,0.483282
294,2690,2153463,2206,0.487185
295,2719,2150959,2181,0.489329
296,2733,2154056,2178,0.490338
297,2666,2140909,2166,0.494904
298,2691,2141367,2209,0.496535
299,2739,2148354,2241,0.496532
300,2760,2153159,2256,0.497074
