cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
1,2,0,0,0.0
2,8,594,0,6.25
3,32,2796,1,2.55555
4,128,11895,6,0.894283
5,512,48699,42,0.292858
6,2048,195717,180,0.0912185
7,3302,405654,374,0.0528894
8,3301,533426,528,0.0469363
9,3322,634109,609,0.0451631
10,3312,714345,701,0.0451328
11,3217,767979,759,0.0466185
12,3327,837214,815,0.0469916
13,3287,883859,928,0.0486023
14,3307,929235,979,0.0501153
15,3315,975008,999,0.0514432
16,3237,1004361,1061,0.0535088
17,3256,1039815,1109,0.0551341
18,3237,1067756,1136,0.0570588
19,3332,1110277,1159,0.0580816
20,3313,1139872,1201,0.0597211
21,3209,1152654,1175,0.0621841
22,3283,1189238,1221,0.0633468
23,3237,1206402,1277,0.0654392
24,3309,1239409,1271,0.0666372
25,3192,1245496,1270,0.069193
26,3234,1269717,1277,0.0707344
27,3267,1293629,1300,0.0722311
28,3201,1306072,1318,0.0743493
29,3215,1321214,1320,0.0762384
30,3138,1328190,1315,0.0785497
31,3218,1355315,1338,0.0796487
32,3272,1382557,1364,0.0806344
33,3150,1377667,1380,0.0835276
34,3224,1398751,1376,0.0847987
35,3148,1406389,1398,0.0869075
36,3230,1429536,1432,0.0880353
37,3200,1439046,1432,0.0899333
38,3232,1459853,1463,0.0911123
39,3210,1470382,1492,0.0929077
40,3258,1492760,1509,0.0938918
41,3209,1501623,1543,0.0957241
42,3204,1510861,1511,0.0974748
43,3301,1533830,1563,0.0983891
44,3145,1521441,1530,0.101588
45,3164,1531310,1602,0.103255
46,3253,1551279,1619,0.104209
47,3184,1555904,1585,0.106209
48,3190,1561717,1588,0.108184
49,3241,1582221,1597,0.109085
50,3230,1595152,1588,0.110454
51,3184,1599904,1576,0.112358
52,3237,1613944,1620,0.11357
53,3210,1616071,1626,0.115659
54,3170,1615226,1639,0.11791
55,3247,1636239,1616,0.118604
56,3246,1649331,1606,0.119875
57,3165,1647254,1604,0.122148
58,3252,1662320,1629,0.123156
59,3109,1648040,1587,0.126417
60,3167,1662470,1633,0.127518
61,3092,1658011,1625,0.130039
62,3116,1661121,1627,0.131904
63,3161,1676135,1636,0.132846
64,3153,1686572,1662,0.134143
65,3151,1694161,1683,0.135667
66,3174,1707220,1650,0.136755
67,3151,1708361,1656,0.13885
68,3155,1714827,1676,0.140357
69,3165,1723298,1696,0.141705
70,3116,1722431,1700,0.143864
71,3232,1744598,1740,0.144098
72,3201,1755516,1777,0.145269
73,3281,1776222,1821,0.145613
74,3187,1777449,1810,0.147552
75,3168,1772265,1792,0.150021
76,3071,1761643,1761,0.152932
77,3195,1785794,1793,0.152879
78,3161,1785281,1762,0.154949
79,3149,1783209,1786,0.1572
80,3061,1774399,1773,0.159985
81,3158,1787231,1768,0.16086
82,3166,1797694,1788,0.161939
83,3126,1801458,1791,0.163627
84,3148,1809114,1787,0.164877
85,3095,1807094,1819,0.167103
86,3208,1828158,1831,0.167173
87,3180,1837322,1852,0.168276
88,3146,1832155,1837,0.17069
89,3080,1828112,1793,0.172987
90,3131,1836459,1816,0.1741
91,3113,1838608,1839,0.175876
92,3190,1857924,1874,0.176032
93,3174,1863813,1872,0.177405
94,3093,1859652,1845,0.179783
95,3147,1871927,1863,0.180503
96,3183,1880074,1888,0.181593
