cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
1,2,0,0,0.0
2,8,593,2,6.25
3,32,2799,3,2.5422
4,128,12007,17,0.895864
5,512,48583,49,0.294756
6,2048,195216,199,0.0917184
7,3267,402254,417,0.0533976
8,3225,522275,524,0.0480608
9,3375,634675,626,0.045213
10,3247,702040,713,0.0460057
11,3230,762535,752,0.0470906
12,3249,820429,808,0.0481436
13,3237,868097,858,0.0496334
14,3236,912600,909,0.0511354
15,3344,967328,945,0.0519823
16,3172,987977,977,0.0545703
17,3329,1040267,1075,0.0552402
18,3166,1055391,1078,0.0578611
19,3252,1092261,1131,0.0592009
20,3267,1122175,1151,0.0607956
21,3230,1146601,1163,0.0626606
22,3325,1183585,1213,0.0636861
23,3271,1207690,1207,0.0653602
24,3262,1228845,1227,0.0672139
25,3227,1243919,1248,0.0692904
26,3253,1267792,1286,0.0708229
27,3279,1291657,1292,0.0723058
28,3305,1316937,1340,0.0736037
29,3254,1331347,1349,0.0754988
30,3229,1343557,1359,0.07748
31,3205,1353552,1363,0.0795761
32,3183,1364835,1377,0.0815598
33,3246,1387960,1385,0.082782
34,3253,1409172,1409,0.0840939
35,3180,1413527,1405,0.0863422
36,3174,1424262,1401,0.0881951
37,3221,1442229,1411,0.0896144
38,3197,1455101,1421,0.0913474
39,3263,1473893,1452,0.0926134
40,3169,1471009,1453,0.0952394
41,3174,1481748,1461,0.0969815
42,3216,1500586,1492,0.098129
43,3224,1513841,1512,0.0996383
44,3245,1528905,1516,0.101015
45,3267,1544733,1554,0.102306
46,3194,1546943,1534,0.104458
47,3251,1563760,1564,0.10561
48,3189,1567382,1563,0.107683
49,3252,1583232,1556,0.108881
50,3265,1597178,1636,0.110181
51,3187,1599735,1656,0.112246
52,3217,1610693,1634,0.113755
53,3213,1619811,1622,0.115344
54,3184,1624874,1620,0.117162
55,3265,1644278,1621,0.117965
56,3237,1655678,1641,0.119327
57,3251,1667316,1660,0.120642
58,3213,1666689,1688,0.122811
59,3137,1661924,1665,0.125337
